Time,Emotion
14:02:12,neutral
14:02:12,happy
14:02:13,neutral
14:02:14,happy
14:02:15,happy
14:02:16,neutral
14:02:17,neutral
14:02:18,sad
14:02:19,happy
14:02:20,fear
14:02:21,sad
14:02:22,fear
14:02:23,neutral
14:02:24,neutral
14:02:25,neutral
14:02:26,neutral
14:02:27,happy
14:02:28,sad
14:02:29,fear
14:02:30,fear
14:02:31,fear
14:02:32,neutral
14:02:33,happy
14:02:34,happy
14:02:35,neutral
14:02:37,neutral
14:02:38,happy
14:02:39,happy
14:02:40,neutral
14:02:41,neutral
14:02:42,neutral
14:02:43,neutral
14:02:44,angry
14:02:45,neutral
14:02:46,neutral
14:02:47,neutral
14:02:48,neutral
14:02:49,neutral
14:03:08,sad
14:03:09,happy
14:03:10,neutral
14:03:11,sad
14:03:12,neutral
14:03:13,sad
14:03:14,sad
14:03:15,sad
14:03:16,neutral
14:03:17,neutral
14:03:18,sad
14:03:19,neutral
14:03:21,neutral
14:03:22,sad
14:03:23,happy
14:03:24,happy
14:03:25,sad
